Idea_ID,Idea_Title,Idea_Topic,Element_ID,Element_Name,Category,Prompts_Total,Prompts_Image,Prompts_Video,Max_Level,Levels_Filled,Has_Level10_Video,Prompt_Step,Aspect_Ratio,Duration_Sec,Level10_Video_Preview,SEO_Status,SEO_Source,SEO_Title,SEO_Tags,SEO_Tag_Count,SEO_Description_Len,SEO_Pinned_Comment,SEO_Demand,SEO_Novelty,SEO_Saturation,SEO_Opportunity,SEO_Verdict,SEO_Top_Keywords,Video_Generated,Video_File_Path,Task_Status,Task_Attempts,Task_Last_Error,Package_Folder,Upload_Ready,Pipeline_Stage,Idea_Status
11,Colossal Wheat Combine Titan,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Colossal Wheat Combine Titan: The Future of Wheat Field Harvesting,"wheat field video, wheat harvesting machine, giant combine harvester, future farming technology, wheat field, agricultural technology, futuristic farming, colossal machine...",15,646,Would you trust this giant wheat harvesting machine on a real farm? 🌾👇,70.08,0.0,0.0,0.0,insufficient_data,"wheat field video, wheat from field to flour, wheat field blowing in the wind, wheat field background video, wheat field minecraft",❌ No,,pending_video,1,,,❌ No,4️⃣ Needs Video,new
12,The Solar Wheat Sifter,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,The Solar Wheat Sifter: A Giant Hovering Wheat Harvest Machine,"wheat field video, wheat harvesting machine, future farming technology, futuristic agriculture, solar powered machine, giant farming machine, wheat from field to flour, wheat field...",15,701,Would you trust this giant solar wheat harvester to farm the future? 🌾👇,73.15,0.0,0.0,0.0,insufficient_data,"wheat field video, wheat from field to flour, wheat field background video, wheat field blowing in the wind, wheat field minecraft",❌ No,,pending_video,1,,,❌ No,4️⃣ Needs Video,new
13,The Wheat Ocean Harvester,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,The Wheat Ocean Harvester: A Colossal Future Wheat Field Machine,"wheat field video, wheat field, wheat harvesting machine, future agricultural machine, futuristic farming, giant farming machine, wheat harvester, agriculture technology...",15,682,Could a machine this massive ever harvest an entire wheat field? What do you think? 👇,73.6,0.0,0.0,0.0,insufficient_data,"the wheat in the field, wheat field video, wheat from field to flour, wheat field background video, wheat field blowing in the wind",❌ No,,—,0,,,❌ No,4️⃣ Needs Video,new
14,Titan Sunwheel Irrigator,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Titan Sunwheel Irrigator: The Future of Wheat Field Farming,"Titan Sunwheel Irrigator, wheat field video, wheat field, future farming, futuristic agriculture, agricultural machine, giant farming machine, wheat field technology...",14,606,Would you trust a machine this massive to grow the world's crops? 🌾👇,70.08,0.0,0.0,0.0,insufficient_data,"wheat field video, wheat from field to flour, wheat field blowing in the wind, wheat field background video, wheat field minecraft",❌ No,,—,0,,,❌ No,4️⃣ Needs Video,new
15,Wheat Field Weather Engine,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Wheat Field Weather Engine: The AI Machine That Controls Climate,"wheat field video, wheat field, future agriculture, agricultural technology, weather control machine, climate control technology, futuristic farming, AI generated cinematic...",14,676,Would you trust a machine that controls weather for crops? 🌾👇,73.15,0.0,0.0,0.0,insufficient_data,"wheat field video, wheat from field to flour, wheat field background video, wheat field in wind, wheat field blowing in the wind",❌ No,,—,0,,,❌ No,4️⃣ Needs Video,new
16,The Infinite Furrow Walker,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,The Infinite Furrow Walker: A Giant Machine Farming Wheat Fields,"wheat field, wheat field video, wheat field background video, future agriculture, futuristic farming machine, giant farming machine, agricultural technology, wheat field future...",14,593,Would you trust this giant machine to farm the world's wheat fields? 🌾👇,70.83,0.0,0.0,0.0,insufficient_data,"wheat field alan walker, wheat field video, wheat from field to flour, wheat field blowing in the wind, wheat field background video",❌ No,,—,0,,,❌ No,4️⃣ Needs Video,new
17,Golden Grain Conveyor City,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Giant Wheat Field Machine Turns Into a Moving Grain City,"wheat field video, wheat from field to flour, wheat field, future farming, futuristic agriculture, giant farming machine, agricultural technology, wheat harvesting machine...",15,758,Would you trust this giant wheat harvesting city to farm the future? 🌾👇,67.91,0.0,0.0,0.0,insufficient_data,"wheat from field to flour, wheat field blowing in the wind, wheat field video, wheat field background video, wheat field minecraft",❌ No,,—,0,,,❌ No,4️⃣ Needs Video,new
18,Wheatfield Solar Crown,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Wheat Field of the Future: The Colossal Solar Crown Machine,"wheat field video, wheat field, futuristic agriculture, future farming technology, giant farming machine, solar crown machine, solar powered agriculture, AI farming technology...",15,794,Would you trust this giant solar farming machine to grow tomorrow’s food? 👇,69.71,0.0,0.0,0.0,insufficient_data,"wheat field video, wheat from field to flour, wheat field blowing in the wind, the crew solar crown, wheat field background video",❌ No,,—,0,,,❌ No,4️⃣ Needs Video,new
19,The Root Network Excavator,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,The Root Network Excavator: The Hidden Machine Beneath Wheat Fields,"wheat field video, the root network, root network excavator, future farming technology, futuristic agriculture, underground machine, giant excavator, megastucture machine...",14,607,Would you trust this underground farming machine beneath your fields? 🌾👇,70.17,0.0,0.0,0.0,insufficient_data,"wheat field video, the root network, wheat from field to flour, wheat field blowing in the wind, wheat field background video",❌ No,,—,0,,,❌ No,4️⃣ Needs Video,new
20,Wheat Sentinel Colossus,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Wheat Field Video: The Colossal AI Robot Farming the Future,"wheat field video, wheat field, futuristic farming, agricultural robot, giant farming machine, AI farming technology, future agriculture, robot farm...",14,718,Would you trust this giant farming robot to protect the world's crops? 🌾👇,73.15,0.0,0.0,0.0,insufficient_data,"wheat field video, wheat from field to flour, wheat field background video, wheat field blowing in the wind, wheat field minecraft",❌ No,,—,0,,,❌ No,4️⃣ Needs Video,new
21,The Atmospheric Grain Elevator,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,What Is a Grain Elevator? The Future Wheat Tower Explained,"what is a grain elevator, grain elevator, grain elevator how it works, wheat field video, wheat field, future farming technology, futuristic agriculture, giant farming machine...",15,567,Would you trust this giant grain elevator to feed the world? 🌾👇,70.38,0.0,0.0,0.0,insufficient_data,"what is a grain elevator, wheat field video, wheat from field to flour, grain elevator how it works, wheat field blowing in the wind",❌ No,,—,0,,,❌ No,4️⃣ Needs Video,new
22,Chrono-Harvest Megamachine,Wheat Field,7,Wheat Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Wheat Field Harvest by a Colossal Chrono-Harvest Megamachine,"wheat field harvest, wheat field video, wheat harvest machine, futuristic farming, giant farming machine, futuristic agriculture, harvesting machine, wheat field technology...",14,655,Could a machine this massive ever harvest an entire wheat field? What do you think? 👇,71.28,0.0,0.0,0.0,insufficient_data,"wheat field harvest, wheat field video, wheat from field to flour, wheat field blowing in the wind, wheat field background video",❌ No,,—,0,,,❌ No,4️⃣ Needs Video,new
23,Colossal Corn Thresher Titan,Corn Field,6,Corn Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Colossal Corn Thresher Titan: The Giant Machine Harvesting a Corn Field,"corn field, corn in corn field, colossal corn removal, corn field interstellar, futuristic farming, giant farming machine, corn harvester machine, agricultural machine...",14,627,Would you trust this Titan to harvest an entire valley? 🌽👇,69.5,0.0,0.0,0.0,insufficient_data,"corn in corn field, corn field blowing in the wind, clown in the corn field explained, corn field at night, corn field background video",❌ No,,—,0,,,❌ No,4️⃣ Needs Video,new
24,The Solar Corn Silo Walker,Corn Field,6,Corn Field,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,The Solar Corn Silo Walker: A Giant Corn Field Machine,"corn field, corn field machine, solar corn silo walker, futuristic farming, future agriculture, giant farming machine, agricultural technology, corn silo...",14,701,Would you trust this giant corn field machine to farm an entire valley? 🌽👇,69.5,0.0,0.0,0.0,insufficient_data,"corn in corn field, stuck in a corn silo, corn field blowing in the wind, clown in the corn field explained, corn field at night",❌ No,,—,0,,,❌ No,4️⃣ Needs Video,new
33,The Whispering Canopy Harvester,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Forest Harvester Machine Awakens: The Whispering Canopy Titan,"forest harvester machine, forest harvester, forest machinery, futuristic forest machine, giant harvesting machine, canopy harvester, forest technology, future engineering...",13,453,Would you trust this futuristic forest harvester to protect nature or change it forever? 🌲👇,65.77,0.0,0.0,0.0,insufficient_data,"the whispering forest, forest harvester machine, forest harvester, the spell of the winter forest, forest blakk if you love her",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.1.Level_10_The_Whispering_Canopy_Harvester\2.1.Level_10_The_Whispering_Canopy_Harvester.mp4,—,0,,,❌ No,5️⃣ Needs Packaging,new
34,The Timberland Root Walker,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,The Timberland Root Walker: A Colossal Forest Machine,"forest machinery, forest machine, timber harvesting machine, futuristic machine, walking machine, giant robot machine, colossal machine, forest technology...",15,532,Would you trust this giant forest machine to reshape the future of timber? 👇,61.16,0.0,0.0,0.0,insufficient_data,"how to clean the timberland boots, forest blakk if you love her, sons of the forest machine gun, forest blakk i choose you, forest machinery euro truck simulator 2",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.2.Level_10_The_Timberland_Root_Walker\2.2.Level_10_The_Timberland_Root_Walker.mp4,—,0,,,❌ No,5️⃣ Needs Packaging,new
35,Bioluminescent Spore Fortress,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Bioluminescent Forest at Night: A Fungal Fortress Awakens,"forest at night, bioluminescent forest, futuristic forest, fungal fortress, alien technology, future agriculture, robotic spores, forest technology...",13,514,Would you explore this glowing forest fortress or fear its technology? 👇,60.97,0.0,0.0,0.0,insufficient_data,"forest blakk if you love her, sons of the forest machine gun, forest blakk i choose you, forest machinery euro truck simulator 2, random forest in machine learning in telugu",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.3.Level_10_Bioluminescent_Spore_Fortress\2.3.Level_10_Bioluminescent_Spore_Fortress.mp4,—,0,,,❌ No,5️⃣ Needs Packaging,new
36,Atmospheric Timber Leviathan,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Colossal Forest Machine: A Timber Leviathan Harvests Trees From Above,"forest machine, forest machinery, futuristic forest machine, giant machine, colossal machine, timber machine, forest technology, future agriculture...",13,647,Would you trust this timber titan to manage the world's forests? 🌲👇,60.97,0.0,0.0,0.0,insufficient_data,"forest blakk if you love her, sons of the forest machine gun, forest blakk i choose you, forest machinery euro truck simulator 2, random forest in machine learning in telugu",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.4.Level_10_Atmospheric_Timber_Leviathan\2.4.Level_10_Atmospheric_Timber_Leviathan.mp4,—,0,,,❌ No,5️⃣ Needs Packaging,new
37,The Ancient Grove Siphon,Forest,2,Forest,Impossible Giant Machine,20,10,10,10,"1,2,3,4,5,6,7,8,9,10",Yes,✅ Complete (20/20),9:16,8.0,"Exactly 8 seconds, 9:16 vertical aspect ratio, photorealistic cinematic render, smooth continuous motion, no cuts, maximum cinematic realism.

Second ",⚠️ chatgpt,chatgpt,Ancient Grove Forest Siphon: A Futuristic Tree-Powered Megastructure,"forest technology, futuristic forest, forest machinery, giant machine, colossal machine, futuristic engineering, forest at night, ancient forest...",14,633,Would you trust a machine that powers an entire forest ecosystem? 🌲👇,61.16,0.0,0.0,0.0,insufficient_data,"the casket of the ancient winters, forest blakk if you love her, sons of the forest machine gun, forest blakk i choose you, forest machinery euro truck simulator 2",✅ Yes,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\2.5.Level_10_The_Ancient_Grove_Siphon\2.5.Level_10_The_Ancient_Grove_Siphon.mp4,—,0,,,❌ No,5️⃣ Needs Packaging,new
